shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1396-03803-3c87ff8c,-36.9756,174.79765,410,8.465
1396-03803-3c87ff8c,-36.97558,174.79765,411,8.467
1396-03803-3c87ff8c,-36.97556,174.79764,412,8.469
1396-03803-3c87ff8c,-36.97554,174.79762,413,8.472
1396-03803-3c87ff8c,-36.97554,174.79762,414,8.472
1396-03803-3c87ff8c,-36.97554,174.79762,415,8.472
1396-03803-3c87ff8c,-36.97542,174.79751,416,8.489
1396-03803-3c87ff8c,-36.97531,174.79739,417,8.505
1396-03803-3c87ff8c,-36.97432,174.79638,418,8.647
1396-03803-3c87ff8c,-36.97335,174.7954,419,8.786
1396-03803-3c87ff8c,-36.97278,174.79481,420,8.868
1396-03803-3c87ff8c,-36.97257,174.7946,421,8.898
1396-03803-3c87ff8c,-36.97259,174.79458,422,8.901
1396-03803-3c87ff8c,-36.97257,174.79461,423,8.904
1396-03803-3c87ff8c,-36.97196,174.79399,424,8.991
1396-03803-3c87ff8c,-36.97189,174.79393,425,9
1396-03803-3c87ff8c,-36.97184,174.79389,426,9.007
1396-03803-3c87ff8c,-36.9718,174.79386,427,9.012
1396-03803-3c87ff8c,-36.97175,174.79383,428,9.018
1396-03803-3c87ff8c,-36.9717,174.79381,429,9.024
1396-03803-3c87ff8c,-36.97165,174.79378,430,9.03
1396-03803-3c87ff8c,-36.9716,174.79376,431,9.036
1396-03803-3c87ff8c,-36.97154,174.79375,432,9.043
1396-03803-3c87ff8c,-36.97149,174.79373,433,9.049
1396-03803-3c87ff8c,-36.97144,174.79372,434,9.055
1396-03803-3c87ff8c,-36.97137,174.79372,435,9.063
1396-03803-3c87ff8c,-36.97131,174.79371,436,9.07
1396-03803-3c87ff8c,-36.97126,174.79372,437,9.076
1396-03803-3c87ff8c,-36.9712,174.79372,438,9.083
1396-03803-3c87ff8c,-36.97115,174.79373,439,9.089
1396-03803-3c87ff8c,-36.97111,174.79374,440,9.094
